TestCaseNo,phase,Sample,operatingSystem,HOW,isTrimmed,baseRecalibration,Mapper,M_Version,Variant Caller,VC_Version,ReferenceGenom,Duplicates,Variant Filter,FilterPass,SOMATICfilter,remove_indels,Sort,File Link,Result VCF Count,Kim yaptı :)
TestCase 343,notReady,LL,Linux,Local,NO,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GAMZE
TestCase 344,notReady,LL,Linux,Local + COSAP,NO,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,ESRA
TestCase 345,notReady,LL,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 346,notReady,LL,MAC,Local,NO,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GAMZE
TestCase 347,notReady,LL,MAC,Local + COSAP,NO,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,ESRA
TestCase 348,notReady,LL,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 349,notReady,LL,Linux,Local,YES,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GAMZE
TestCase 350,notReady,LL,Linux,Local + COSAP,YES,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,ESRA
TestCase 351,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 352,notReady,LL,MAC,Local,YES,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GAMZE
TestCase 353,notReady,LL,MAC,Local + COSAP,YES,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,ESRA
TestCase 354,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 355,notReady,LL,Linux,Local,NO,YES,BWA,,Strelka,,hg19,DELETE,,,,,,,,GAMZE
TestCase 356,notReady,LL,Linux,Local + COSAP,NO,YES,BWA,,Strelka,,hg19,DELETE,,,,,,,,ESRA
TestCase 357,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 358,notReady,LL,MAC,Local,NO,YES,BWA,,Strelka,,hg19,DELETE,,,,,,,,GAMZE
TestCase 359,notReady,LL,MAC,Local + COSAP,NO,YES,BWA,,Strelka,,hg19,DELETE,,,,,,,,ESRA
TestCase 360,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 361,notReady,LL,Linux,Local,YES,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GAMZE
TestCase 362,notReady,LL,Linux,Local + COSAP,YES,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,ESRA
TestCase 363,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 364,notReady,LL,MAC,Local,YES,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GAMZE
TestCase 365,notReady,LL,MAC,Local + COSAP,YES,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,ESRA
TestCase 366,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 367,notReady,LL,Linux,Local,NO,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GAMZE
TestCase 368,notReady,LL,Linux,Local + COSAP,NO,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,ESRA
TestCase 369,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 370,notReady,LL,MAC,Local,NO,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GAMZE
TestCase 371,notReady,LL,MAC,Local + COSAP,NO,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,ESRA
TestCase 372,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 373,notReady,LL,Linux,Local,YES,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GAMZE
TestCase 374,notReady,LL,Linux,Local + COSAP,YES,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,ESRA
TestCase 375,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 376,notReady,LL,MAC,Local,YES,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GAMZE
TestCase 377,notReady,LL,MAC,Local + COSAP,YES,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,ESRA
TestCase 378,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 379,notReady,LL,Linux,Local,NO,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GAMZE
TestCase 380,notReady,LL,Linux,Local + COSAP,NO,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,ESRA
TestCase 381,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 382,notReady,LL,MAC,Local,NO,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GAMZE
TestCase 383,notReady,LL,MAC,Local + COSAP,NO,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,ESRA
TestCase 384,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 385,notReady,LL,Linux,Local,YES,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE
TestCase 386,notReady,LL,Linux,Local + COSAP,YES,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,ESRA
TestCase 387,notReady,LL,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 388,notReady,LL,MAC,Local,YES,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE
TestCase 389,notReady,LL,MAC,Local + COSAP,YES,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,ESRA
TestCase 390,notReady,LL,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 391,notReady,LL,Linux,Local,NO,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE
TestCase 392,notReady,LL,Linux,Local + COSAP,NO,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,ESRA
TestCase 393,notReady,LL,,Uhem + COSAP,NO,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 394,notReady,LL,MAC,Local,NO,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE
TestCase 395,notReady,LL,MAC,Local + COSAP,NO,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,ESRA
TestCase 396,notReady,LL,,Uhem + COSAP,NO,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 397,notReady,LL,Linux,Local,YES,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE
TestCase 398,notReady,LL,Linux,Local + COSAP,YES,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,ESRA
TestCase 399,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 400,notReady,LL,MAC,Local,YES,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE
TestCase 401,notReady,LL,MAC,Local + COSAP,YES,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,ESRA
TestCase 402,notReady,LL,,Uhem + COSAP,YES,NO,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 403,notReady,LL,Linux,Local,NO,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE
TestCase 404,notReady,LL,Linux,Local + COSAP,NO,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,ESRA
TestCase 405,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 406,notReady,LL,MAC,Local,NO,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE
TestCase 407,notReady,LL,MAC,Local + COSAP,NO,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,ESRA
TestCase 408,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 409,notReady,LL,Linux,Local,YES,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE
TestCase 410,notReady,LL,Linux,Local + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,ESRA
TestCase 411,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 412,notReady,LL,MAC,Local,YES,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE
TestCase 413,notReady,LL,MAC,Local + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,ESRA
TestCase 414,notReady,LL,,Uhem + COSAP,YES,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 415,notReady,LL,Linux,Local,NO,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE
TestCase 416,notReady,LL,Linux,Local + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,ESRA
TestCase 417,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 418,notReady,LL,MAC,Local,NO,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE
TestCase 419,notReady,LL,MAC,Local + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,ESRA
TestCase 420,notReady,LL,,Uhem + COSAP,NO,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 421,notReady,LL,Linux,Local,YES,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE
TestCase 422,notReady,LL,Linux,Local + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,ESRA
TestCase 423,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 424,notReady,LL,MAC,Local,YES,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE
TestCase 425,notReady,LL,MAC,Local + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,ESRA
TestCase 426,notReady,LL,,Uhem + COSAP,YES,NO,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 427,notReady,LL,Linux,Local,NO,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE
TestCase 428,notReady,LL,Linux,Local + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,ESRA
TestCase 429,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 430,notReady,LL,MAC,Local,NO,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GAMZE
TestCase 431,notReady,LL,MAC,Local + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,ESRA
TestCase 432,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,SomaticSniper,,hg19,DELETE,,,,,,,,GÜL EDA
TestCase 433,done,LL,Linux,Local,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,,,,GAMZE
TestCase 434,notReady,LL,Linux,Local + COSAP,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,,,,ESRA
TestCase 435,done,LL,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1nBnrEG0vkv4A5IgkUWdftstaSswYPD7h?usp=sharing,,GÜL EDA
TestCase 436,notReady,LL,MAC,Local,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,,,,GAMZE
TestCase 437,notReady,LL,MAC,Local + COSAP,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,,,,ESRA
TestCase 438,error!,LL,,Uhem + COSAP,YES,YES,BWA,,Mutect,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 439,done,LL,Linux,Local,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,,,,GAMZE
TestCase 440,notReady,LL,Linux,Local + COSAP,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,,,,ESRA
TestCase 441,done,LL,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1X2ykoeKkbCWuXJ2z4GVHGQWaxjzDhTY7?usp=sharing,,GÜL EDA
TestCase 442,notReady,LL,MAC,Local,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,,,,GAMZE
TestCase 443,notReady,LL,MAC,Local + COSAP,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,,,,ESRA
TestCase 444,error!,LL,,Uhem + COSAP,NO,NO,BWA,,Mutect,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 445,done,LL,Linux,Local,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,,,,GAMZE
TestCase 446,notReady,LL,Linux,Local + COSAP,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,,,,ESRA
TestCase 447,done,LL,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/10WE83fU9Cvp3xpJi83fQ47i1twlDb4Fi?usp=sharing,,GÜL EDA
TestCase 448,notReady,LL,MAC,Local,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,,,,GAMZE
TestCase 449,notReady,LL,MAC,Local + COSAP,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,,,,ESRA
TestCase 450,error!,LL,,Uhem + COSAP,YES,NO,BWA,,Mutect,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 451,done,LL,Linux,Local,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,,,,GAMZE
TestCase 452,notReady,LL,Linux,Local + COSAP,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,,,,ESRA
TestCase 453,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 454,notReady,LL,MAC,Local,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,,,,GAMZE
TestCase 455,notReady,LL,MAC,Local + COSAP,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,,,,ESRA
TestCase 456,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,Mutect,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 457,done,LL,Linux,Local,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/file/d/1vHdtOOXHSWNC9pgnlQe4zuIoZrxSOYd3/view?usp=sharing,,GAMZE
TestCase 458,notReady,LL,Linux,Local + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,ESRA
TestCase 459,done,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1KyHLsnJSI6c9kquU-2o3t8X4hhv50MLd?usp=sharing,,GÜL EDA
TestCase 460,notReady,LL,MAC,Local,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,GAMZE
TestCase 461,notReady,LL,MAC,Local + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,ESRA
TestCase 462,error!,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 463,done,LL,Linux,Local,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/file/d/1ZDcJbDGPluKo2ozpXoYbJmDqc2yPaCHk/view?usp=sharing,,GAMZE
TestCase 464,notReady,LL,Linux,Local + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,ESRA
TestCase 465,done,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/198PQ6Ewo7vRyoFhfzf0kC1oDuyJ879lU?usp=sharing,,GÜL EDA
TestCase 466,notReady,LL,MAC,Local,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,GAMZE
TestCase 467,notReady,LL,MAC,Local + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,ESRA
TestCase 468,error!,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 469,done,LL,Linux,Local,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,GAMZE
TestCase 470,notReady,LL,Linux,Local + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,ESRA
TestCase 471,done,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1F1A05glBm5JKdY2L7HW9KQkZQ13WtNMf?usp=sharing,,GÜL EDA
TestCase 472,notReady,LL,MAC,Local,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,GAMZE
TestCase 473,notReady,LL,MAC,Local + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,ESRA
TestCase 474,error!,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 475,done,LL,Linux,Local,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,https://drive.google.com/file/d/1UU8JkObS1DBhdj319EjVdqwbLnnxcMpb/view?usp=sharing,,GAMZE
TestCase 476,notReady,LL,Linux,Local + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,ESRA
TestCase 477,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 478,notReady,LL,MAC,Local,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,GAMZE
TestCase 479,notReady,LL,MAC,Local + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,ESRA
TestCase 480,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Mutect,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 481,done,LL,Linux,Local,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,,,,GAMZE
TestCase 482,notReady,LL,Linux,Local + COSAP,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,,,,ESRA
TestCase 483,done,LL,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1ycRRP55yOI4ELwh7HpzqQ3guTrm047nP?usp=sharing,,GÜL EDA
TestCase 484,notReady,LL,MAC,Local,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,,,,GAMZE
TestCase 485,notReady,LL,MAC,Local + COSAP,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,,,,ESRA
TestCase 486,error!,LL,,Uhem + COSAP,YES,YES,BWA,,Strelka,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 487,done,LL,Linux,Local,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,,,,GAMZE
TestCase 488,notReady,LL,Linux,Local + COSAP,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,,,,ESRA
TestCase 489,done,LL,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/11IsIHIPStR7tjtyi9bdso8mlUBjjvEl2?usp=sharing,,GÜL EDA
TestCase 490,notReady,LL,MAC,Local,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,,,,GAMZE
TestCase 491,notReady,LL,MAC,Local + COSAP,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,,,,ESRA
TestCase 492,error!,LL,,Uhem + COSAP,NO,NO,BWA,,Strelka,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 493,done,LL,Linux,Local,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,,,,GAMZE
TestCase 494,notReady,LL,Linux,Local + COSAP,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,,,,ESRA
TestCase 495,done,LL,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1lzoPLPuTSr5JZ8WDS3JPI25ybRFqHbAJ?usp=sharing,,GÜL EDA
TestCase 496,notReady,LL,MAC,Local,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,,,,GAMZE
TestCase 497,notReady,LL,MAC,Local + COSAP,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,,,,ESRA
TestCase 498,error!,LL,,Uhem + COSAP,YES,NO,BWA,,Strelka,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 499,done,LL,Linux,Local,NO,YES,BWA,,Strelka,,hg38,DELETE,,,,,,,,GAMZE
TestCase 500,notReady,LL,Linux,Local + COSAP,NO,YES,BWA,,Strelka,,hg38,DELETE,,,,,,,,ESRA
TestCase 501,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 502,notReady,LL,MAC,Local,NO,YES,BWA,,Strelka,,hg38,DELETE,,,,,,,,GAMZE
TestCase 503,notReady,LL,MAC,Local + COSAP,NO,YES,BWA,,Strelka,,hg38,DELETE,,,,,,,,ESRA
TestCase 504,notReady,LL,,Uhem + COSAP,NO,YES,BWA,,Strelka,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 505,done,LL,Linux,Local,YES,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,GAMZE
TestCase 506,notReady,LL,Linux,Local + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,ESRA
TestCase 507,done,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1rrJS191Im0qNfmdjieJs0xbKaNgaOtEk?usp=sharing,,GÜL EDA
TestCase 508,notReady,LL,MAC,Local,YES,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,GAMZE
TestCase 509,notReady,LL,MAC,Local + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,ESRA
TestCase 510,error!,LL,,Uhem + COSAP,YES,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 511,done,LL,Linux,Local,NO,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,GAMZE
TestCase 512,notReady,LL,Linux,Local + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,ESRA
TestCase 513,checkNotes.,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,"hata çıktı, tekrar edilecek.",,GÜL EDA
TestCase 514,notReady,LL,MAC,Local,NO,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,GAMZE
TestCase 515,notReady,LL,MAC,Local + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,ESRA
TestCase 516,error!,LL,,Uhem + COSAP,NO,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 517,done,LL,Linux,Local,YES,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,GAMZE
TestCase 518,notReady,LL,Linux,Local + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,ESRA
TestCase 519,done,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1UwOvScon4_zrq682p9Txuz9_X-kgd0RZ?usp=sharing,,GÜL EDA
TestCase 520,notReady,LL,MAC,Local,YES,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,GAMZE
TestCase 521,notReady,LL,MAC,Local + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,ESRA
TestCase 522,error!,LL,,Uhem + COSAP,YES,NO,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 523,done,LL,Linux,Local,NO,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,GAMZE
TestCase 524,notReady,LL,Linux,Local + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,ESRA
TestCase 525,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 526,notReady,LL,MAC,Local,NO,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,GAMZE
TestCase 527,notReady,LL,MAC,Local + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,ESRA
TestCase 528,notReady,LL,,Uhem + COSAP,NO,YES,BOWTIE,,Strelka,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 529,done,LL,Linux,Local,YES,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,GAMZE
TestCase 530,notReady,LL,Linux,Local + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,ESRA
TestCase 531,done,LL,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1tDvdc4rgwzhOrS2Kbb1yEm6wjn4BvLgE?usp=sharing,,GÜL EDA
TestCase 532,notReady,LL,MAC,Local,YES,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,GAMZE
TestCase 533,notReady,LL,MAC,Local + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,ESRA
TestCase 534,error!,LL,,Uhem + COSAP,YES,YES,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,GÜL EDA
TestCase 535,done,LL,Linux,Local,NO,NO,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,GAMZE
TestCase 536,notReady,LL,Linux,Local + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,ESRA
TestCase 537,done,LL,,Uhem + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,DELETE,,,,,,https://drive.google.com/drive/folders/1pIWDGWlcoKUNnJAKSOc37_-zEDUGWZ5_?usp=sharing,,GÜL EDA
TestCase 538,notReady,LL,MAC,Local,NO,NO,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,GAMZE
TestCase 539,notReady,LL,MAC,Local + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,ESRA
TestCase 540,error!,LL,,Uhem + COSAP,NO,NO,BWA,,SomaticSniper,,hg38,DELETE,,,,,,,,GÜL EDA
